scenario,condition,run_number,status,notes
A1,static_resilience,1,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A1,static_resilience,2,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A1,static_resilience,3,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A1,static_resilience,4,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A1,static_resilience,5,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A1,static_resilience,6,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A1,static_resilience,7,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A1,static_resilience,8,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A1,static_resilience,9,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A1,static_resilience,10,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A1,treatment,1,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A1,treatment,2,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A1,treatment,3,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A1,treatment,4,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A1,treatment,5,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A1,treatment,6,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A1,treatment,7,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A1,treatment,8,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A1,treatment,9,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A1,treatment,10,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A2,static_resilience,1,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A2,static_resilience,2,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A2,static_resilience,3,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A2,static_resilience,4,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A2,static_resilience,5,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A2,static_resilience,6,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A2,static_resilience,7,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A2,static_resilience,8,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A2,static_resilience,9,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A2,static_resilience,10,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A2,treatment,1,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A2,treatment,2,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A2,treatment,3,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A2,treatment,4,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A2,treatment,5,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A2,treatment,6,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A2,treatment,7,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A2,treatment,8,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A2,treatment,9,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A2,treatment,10,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A3,static_resilience,1,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A3,static_resilience,2,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A3,static_resilience,3,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A3,static_resilience,4,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
A3,static_resilience,5,valid,Data mentah tidak dipublikasikan — lihat experiments/processed/ untuk data agregat
