scenario,condition,run_number,total,full,partial,failure,partial_availability,partial_availability_pct,error_rate_percent,p95_ms,p99_ms,iqr_ms,mean_ms,median_ms,slo_violation_score,violation_details,tfs_seconds,ttr_seconds,throughput_rps,total_requests,pair_id
A1,static_resilience,1,133,133,0,0,1.0,100.0,0.0,25093.2,25247.0,3889.0,21130.17,22288.0,0.0,none,20.99,N/A,0.1999,133,A1-1
A1,static_resilience,10,132,132,0,0,1.0,100.0,0.0,25276.9,25286.38,3985.75,21274.85,22678.0,0.0,none,18.91,N/A,0.1985,132,A1-10
A1,static_resilience,2,133,133,0,0,1.0,100.0,0.0,25029.8,25094.12,3723.0,20969.74,21979.0,0.0,none,20.87,N/A,0.2008,133,A1-2
A1,static_resilience,3,133,133,0,0,1.0,100.0,0.0,25027.4,25094.12,3685.0,21010.2,22276.0,0.0,none,20.28,N/A,0.2002,133,A1-3
A1,static_resilience,4,133,133,0,0,1.0,100.0,0.0,25090.0,34542.24,3996.0,20907.51,23352.0,0.0,none,21.26,N/A,0.2001,133,A1-4
A1,static_resilience,5,132,132,0,0,1.0,100.0,0.0,25277.35,25349.72,3909.25,21299.44,22161.5,0.0,none,18.79,N/A,0.1989,132,A1-5
A1,static_resilience,6,132,132,0,0,1.0,100.0,0.0,25098.3,25195.76,3694.5,21281.31,22936.5,0.0,none,22.17,N/A,0.1994,132,A1-6
A1,static_resilience,7,132,132,0,0,1.0,100.0,0.0,25283.6,25377.14,3918.75,21326.67,22384.5,0.0,none,18.99,N/A,0.1987,132,A1-7
A1,static_resilience,8,132,132,0,0,1.0,100.0,0.0,25289.7,25483.9,3799.0,21379.45,22000.5,0.0,none,19.09,N/A,0.1989,132,A1-8
A1,static_resilience,9,132,132,0,0,1.0,100.0,0.0,25380.45,25596.52,4413.75,21141.48,21646.0,0.0,none,18.45,N/A,0.1983,132,A1-9
A1,treatment,1,133,133,0,0,1.0,100.0,0.0,25033.4,25088.68,3701.0,20906.21,22272.0,0.0,none,20.38,N/A,0.2002,133,A1-1
A1,treatment,10,131,131,0,0,1.0,100.0,0.0,25379.0,35060.3,5202.5,21139.02,21780.0,0.0,none,18.61,N/A,0.1984,131,A1-10
A1,treatment,2,133,133,0,0,1.0,100.0,0.0,25189.2,25352.84,3898.0,21282.6,22995.0,0.0,none,21.78,N/A,0.1995,133,A1-2
A1,treatment,3,132,132,0,0,1.0,100.0,0.0,25093.25,25191.76,3884.5,21216.49,22637.0,0.0,none,21.21,N/A,0.1999,132,A1-3
A1,treatment,4,132,132,0,0,1.0,100.0,0.0,25106.45,25256.3,3874.75,21251.51,22550.5,0.0,none,22.1,N/A,0.1996,132,A1-4
A1,treatment,5,133,133,0,0,1.0,100.0,0.0,25295.6,25392.0,3873.0,21370.08,22115.0,0.0,none,18.4,N/A,0.1988,133,A1-5
A1,treatment,6,132,132,0,0,1.0,100.0,0.0,25281.45,31745.04,4371.75,21215.92,21893.0,0.0,none,19.4,N/A,0.1986,132,A1-6
