scenario,run_number,pair_id,static_p95_ms,treatment_p95_ms,delta_p95_ms,delta_p95_percent,static_error_rate_percent,treatment_error_rate_percent,delta_error_rate_pp,static_pa_percent,treatment_pa_percent,delta_pa_pp,static_tfs_seconds,treatment_tfs_seconds,delta_tfs_seconds,static_ttr_seconds,treatment_ttr_seconds,delta_ttr_seconds,static_slo_score,treatment_slo_score,delta_slo_score
A1,1,A1-1,25093.2,25033.4,-59.8,-0.24,0.0,0.0,0.0,100.0,100.0,0.0,20.99,20.38,-0.61,,,,,,
A1,10,A1-10,25276.9,25379.0,102.1,0.4,0.0,0.0,0.0,100.0,100.0,0.0,18.91,18.61,-0.3,,,,,,
A1,2,A1-2,25029.8,25189.2,159.4,0.64,0.0,0.0,0.0,100.0,100.0,0.0,20.87,21.78,0.91,,,,,,
A1,3,A1-3,25027.4,25093.25,65.85,0.26,0.0,0.0,0.0,100.0,100.0,0.0,20.28,21.21,0.93,,,,,,
A1,4,A1-4,25090.0,25106.45,16.45,0.07,0.0,0.0,0.0,100.0,100.0,0.0,21.26,22.1,0.84,,,,,,
A1,5,A1-5,25277.35,25295.6,18.25,0.07,0.0,0.0,0.0,100.0,100.0,0.0,18.79,18.4,-0.39,,,,,,
A1,6,A1-6,25098.3,25281.45,183.15,0.73,0.0,0.0,0.0,100.0,100.0,0.0,22.17,19.4,-2.77,,,,,,
A1,7,A1-7,25283.6,25337.5,53.9,0.21,0.0,0.0,0.0,100.0,100.0,0.0,18.99,18.6,-0.39,,,,,,
A1,8,A1-8,25289.7,24977.6,-312.1,-1.23,0.0,0.0,0.0,100.0,100.0,0.0,19.09,19.87,0.78,,,,,,
A1,9,A1-9,25380.45,25180.7,-199.75,-0.79,0.0,0.0,0.0,100.0,100.0,0.0,18.45,20.53,2.08,,,,,,
A2,1,A2-1,54683.0,50843.2,-3839.8,-7.02,20.6107,2.9197,-17.691,79.39,97.08,17.69,27.95,29.34,1.39,,,,0.4114,0.2316,-0.1798
A2,10,A2-10,47372.8,34965.5,-12407.3,-26.19,19.2593,3.9773,-15.282,80.74,96.02,15.28,26.45,28.84,2.39,,,,0.2895,0.0552,-0.2343
A2,2,A2-2,27576.8,45329.2,17752.4,64.37,0.0,2.4,2.4,100.0,97.6,-2.4,26.25,48.07,21.82,,,,,0.1703,
A2,3,A2-3,48849.4,41339.8,-7509.6,-15.37,23.0216,0.0,-23.0216,76.98,100.0,23.02,28.95,23.94,-5.01,,,,0.3142,0.126,-0.1882
A2,4,A2-4,50772.0,38794.2,-11977.8,-23.59,16.2791,2.2556,-14.0235,83.72,97.74,14.02,25.54,24.97,-0.57,,,,0.3462,0.0977,-0.2485
A2,5,A2-5,31508.5,55246.05,23737.55,75.34,0.0,4.2254,4.2254,100.0,95.77,-4.23,40.95,82.83,41.88,,,,0.0251,0.2805,0.2554
A2,6,A2-6,49320.2,30842.65,-18477.55,-37.46,16.9231,2.0619,-14.8612,83.08,97.94,14.86,28.83,26.54,-2.29,,,,0.322,0.0094,-0.3126
A2,7,A2-7,53023.0,44938.9,-8084.1,-15.25,29.8013,3.1447,-26.6566,70.2,96.86,26.66,26.06,35.04,8.98,,,,0.3837,0.166,-0.2177
A2,8,A2-8,46888.25,38813.5,-8074.75,-17.22,42.0455,3.5294,-38.5161,57.95,96.47,38.52,166.74,24.95,-141.79,,,,0.2815,0.0979,-0.1836
A2,9,A2-9,37602.0,35726.05,-1875.95,-4.99,0.0,0.8475,0.8475,100.0,99.15,-0.85,34.46,25.73,-8.73,,,,0.1267,0.0636,-0.0631
A3,1,A3-1,44976.55,49276.5,4299.95,9.56,0.0,4.4872,4.4872,100.0,95.51,-4.49,48.56,24.08,-24.48,,,,0.2496,0.2142,-0.0354
A3,10,A3-10,42603.8,45260.25,2656.45,6.24,1.7094,1.7241,0.0147,98.29,98.28,-0.01,27.95,26.96,-0.99,,,,0.2101,0.1696,-0.0405
A3,2,A3-2,50763.3,27888.05,-22875.25,-45.06,24.4755,0.0,-24.4755,75.52,100.0,24.48,24.74,24.95,0.21,,,,0.3461,,
A3,3,A3-3,29998.4,51034.95,21036.55,70.13,0.0,2.6786,2.6786,100.0,97.32,-2.68,33.66,50.95,17.29,,,,,0.2337,
